student_key,student_id,student_name,date_of_birth,grade,contact_number
5095,S05095,ronald rodriguez,2011-03-08,Grade 2,+13564812721
5096,S05096,thomas ross,2016-09-21,Grade 3,+15494131027
5097,S05097,kara brown,2015-02-09,Grade 4,+14687492998
5098,S05098,jennifer rosario,2017-02-16,Grade 4,+16815895122
5099,S05099,april acevedo,2018-11-15,Grade 2,+15403158792
5100,S05100,sara valenzuela,2015-09-02,Grade 2,+14016164707
5101,S05101,lori turner,2015-06-11,Grade 1,+16268439773
5102,S05102,stacey williamson,2014-07-18,Grade 5,+14827863947
5103,S05103,neil horton,2016-09-08,Grade 4,+15937708436
5104,S05104,jacob baker,2017-12-28,Grade 4,+14813373672
5105,S05105,derek hardin,2011-06-01,Grade 3,+18709103518
5106,S05106,john hardin,2006-06-30,Grade 5,+14587428139
5107,S05107,ronald wright,2014-08-09,Grade 2,+16802446829
5108,S05108,tammy miller,2011-12-12,Grade 2,+17959491048
5109,S05109,sarah perez,2013-11-01,Grade 3,+12357796828
5110,S05110,brittany wallace,2007-09-20,Grade 3,+16549575157
5111,S05111,jeremy boyd,2016-06-24,Grade 5,+19813227194
5112,S05112,devon brown,2013-03-24,Grade 5,+15539771750
5113,S05113,eddie parker,2014-01-18,Grade 5,+13482167350
5114,S05114,jose sellers,2011-03-07,Grade 5,+14285380852
5115,S05115,alexander kelly,2010-05-12,Grade 5,n/a
5116,S05116,angela johnson,2007-10-01,Grade 1,+14457594859
5117,S05117,allison brown,2009-09-29,Grade 5,+14637314523
5118,S05118,krystal huang,2016-05-13,Grade 2,+16793532193
5119,S05119,stacey davis,2015-02-17,Grade 2,+13966770528
5120,S05120,steven reed,2008-04-05,Grade 3,+12714181237
5121,S05121,carl brown,2007-12-02,Grade 3,+19953775359
5122,S05122,lisa clark,2010-05-05,Grade 4,+13342695344
5123,S05123,gregory alexander,2008-06-03,Grade 4,+14713782591
5124,S05124,christina woodward,2006-05-23,Grade 4,+14688138828
5125,S05125,ryan wright,2006-06-21,Grade 5,+14234112262
5126,S05126,jeffrey carrillo,2007-04-22,Grade 1,+18825419750
5127,S05127,timothy hurst,2009-10-17,Grade 5,+16136300369
5128,S05128,jennifer rodriguez,2011-08-14,Grade 3,+16417528352
5129,S05129,michael lewis,2017-11-30,Grade 1,+17549883376
5130,S05130,shelly hoover,2010-12-23,Grade 3,+19424921850
5131,S05131,mary lopez,2010-06-14,Grade 4,+18708221314
5132,S05132,kara price,2017-03-19,Grade 1,+12798422308
5133,S05133,bradley wyatt,2010-11-25,Grade 3,+19916347431
5134,S05134,melissa ashley,2012-04-10,Grade 3,+13967798720
5135,S05135,kathryn jefferson,2009-04-11,Grade 5,+15649092171
5136,S05136,alex jones,2007-12-29,Grade 2,+12729252022
5137,S05137,stephanie scott,2008-05-14,Grade 3,+16923128380
5138,S05138,robert cruz,2010-07-08,Grade 4,+17557818965
5139,S05139,kyle mejia,2016-12-16,Grade 2,+17569273982
5140,S05140,jason tucker,2007-06-28,Grade 4,+16069986961
5141,S05141,david anderson,2010-06-12,Grade 2,+14795787204
5142,S05142,amber davis,2012-10-22,Grade 2,+16447625131
5143,S05143,jason murillo,2016-11-18,Grade 1,n/a
5144,S05144,sarah williams,2011-12-24,Grade 4,+13242649932
5145,S05145,robert schultz,2006-10-03,Grade 2,+15609738815
5146,S05146,james young,2012-11-02,Grade 1,+19883448079
5147,S05147,sean moreno,2006-04-15,Grade 5,+12135105301
5148,S05148,jessica merritt,2007-11-11,Grade 3,+12373577748
5149,S05149,benjamin williams,2007-09-19,Grade 4,+13805089405
5150,S05150,daniel nelson,2009-06-13,Grade 1,+13867286309
5151,S05151,angela marshall,2006-06-28,Grade 1,+17949067078
5152,S05152,victor mora,2008-03-13,Grade 1,+17738896112
5153,S05153,sophia martin,2017-03-23,Grade 4,+14966082257
5154,S05154,sarah rasmussen,2017-11-29,Grade 2,+19497746442
5155,S05155,ryan jones,2014-12-17,Grade 2,+13216010523
5156,S05156,kathleen salinas,2008-10-01,Grade 3,+17022830325
5157,S05157,courtney howard,2013-11-28,Grade 4,+18719301617
5158,S05158,marie stein,2014-01-17,Grade 2,+15799370202
5159,S05159,eric martinez,2014-12-17,Grade 1,+15558209794
5160,S05160,kelly gilbert,2011-06-19,Grade 2,+13626112891
5161,S05161,kari powell,2016-04-13,Grade 1,+18262218821
5162,S05162,roberto pierce,2014-01-06,Grade 5,+16619096854
5163,S05163,dan conner,2017-03-27,Grade 3,+13248897860
5164,S05164,vicki roy,2009-01-04,Grade 2,+13389849122
5165,S05165,steven cook,2010-09-15,Grade 2,+14457249780
5166,S05166,stephanie arias,2009-09-22,Grade 3,+15804542174
5167,S05167,maria joseph,2018-12-20,Grade 5,+16212053474
5168,S05168,katherine lloyd,2010-02-28,Grade 4,+19224514236
5169,S05169,charles gay,2017-04-22,Grade 3,+16575316051
5170,S05170,brooke ellis,2008-05-26,Grade 1,+18486109329
5171,S05171,mary lowe,2018-08-02,Grade 3,+16186232209
5172,S05172,christopher mcintosh,2010-10-11,Grade 2,+17913921406
5173,S05173,vanessa reed,2011-03-02,Grade 4,+15319185281
5174,S05174,jeremiah hicks phd,2010-05-15,Grade 3,+12994822715
5175,S05175,nicole schroeder,2006-06-11,Grade 3,+14232409931
5176,S05176,paul christensen,2006-09-29,Grade 2,+16659738729
5177,S05177,anthony jenkins,2009-12-02,Grade 4,+13378440284
5178,S05178,jonathan turner,2006-03-20,Grade 3,+15852175592
5179,S05179,joseph green,2008-04-07,Grade 4,+12023491211
5180,S05180,michelle robles,2006-05-18,Grade 4,+14724080033
5181,S05181,eduardo bailey,2012-10-30,Grade 2,+15694244774
5182,S05182,molly snow,2011-11-24,Grade 1,+16307973597
5183,S05183,david yates,2010-01-16,Grade 4,+17534535260
5184,S05184,denise mason,2007-08-06,Grade 4,+15134945480
5185,S05185,tyler russell iv,2013-12-17,Grade 2,+13637796645
5186,S05186,amanda dixon,2007-05-14,Grade 1,+13099102933
5187,S05187,meghan morgan,2011-10-26,Grade 3,n/a
5188,S05188,kathryn turner,2011-04-19,Grade 1,+14086577315
5189,S05189,nathaniel miller,2015-01-19,Grade 2,+12707875778
5190,S05190,jeff harrison,2011-07-17,Grade 5,+15638728867
5191,S05191,mr. aaron adams,2017-06-26,Grade 5,+17664056754
5192,S05192,lisa bradley,2017-05-26,Grade 4,+13848098213
5193,S05193,mary johnson,2016-01-19,Grade 1,+16369840044
5194,S05194,scott hudson,2014-12-04,Grade 5,+14578808866
5195,S05195,charlene nelson,2015-06-08,Grade 4,+15889291155
5196,S05196,courtney mata,2014-02-28,Grade 2,+14492499812
5197,S05197,steven andrews,2015-05-06,Grade 1,+17215417972
5198,S05198,michael cowan,2015-01-25,Grade 3,+18617914020
5199,S05199,andrea whitney,2013-07-09,Grade 5,+12635531386
5200,S05200,charles trevino,2014-12-17,Grade 4,n/a
5201,S05201,timothy torres,2013-06-13,Grade 4,+15472711408
5202,S05202,douglas mcintosh,2006-12-25,Grade 3,n/a
5203,S05203,savannah young,2011-06-11,Grade 4,+18266981972
5204,S05204,linda cain,2009-04-11,Grade 4,+18975023846
5205,S05205,jill coleman,2012-02-10,Grade 1,+13375243065
5206,S05206,katherine goodwin,2007-01-14,Grade 5,+14577040780
5207,S05207,jennifer mcgrath,2014-05-08,Grade 4,n/a
5208,S05208,clifford johnson dds,2018-01-09,Grade 5,+15042476307
5209,S05209,kelsey bailey,2009-01-31,Grade 2,+16262469300
5210,S05210,sarah young,2011-10-19,Grade 2,+15013723181
5211,S05211,jeffery garcia,2007-06-16,Grade 2,+18945222945
5212,S05212,sandra campbell,2012-06-22,Grade 4,+12555917357
5213,S05213,carlos murphy,2017-11-08,Grade 5,+17299240243
5214,S05214,matthew perez,2014-09-03,Grade 1,+15602145359
5215,S05215,hailey johnson,2006-12-01,Grade 4,+18433867544
5216,S05216,joshua mcbride,2008-09-01,Grade 3,+13007940939
5217,S05217,robin vaughn,2015-08-15,Grade 2,+17242487799
5218,S05218,amy burns,2014-02-10,Grade 2,+16854867761
5219,S05219,wanda gregory,2006-12-03,Grade 5,+18898926865
5220,S05220,andrew mahoney,2016-06-12,Grade 1,+13579572104
5221,S05221,todd perkins,2017-03-07,Grade 2,+15775452202
5222,S05222,mark bailey,2011-06-25,Grade 3,+16828985431
5223,S05223,philip vazquez,2015-07-06,Grade 5,+15356371272
5224,S05224,ms. nicole henson md,2016-04-18,Grade 4,+16576770710
5225,S05225,vanessa shah,2006-07-05,Grade 4,+17916555257
5226,S05226,stephen evans,2018-09-25,Grade 4,+14326549296
5227,S05227,bobby nixon,2015-06-17,Grade 3,+18873925008
5228,S05228,donna perez,2017-12-25,Grade 4,+14046261474
5229,S05229,kristi boyd,2007-04-08,Grade 1,+13484233148
5230,S05230,alexandra best,2013-08-26,Grade 1,n/a
5231,S05231,gina smith,2015-03-28,Grade 1,+19539005365
5232,S05232,mrs. lynn williams,2016-08-29,Grade 2,+16915849660
5233,S05233,emily carter,2012-03-07,Grade 5,+19532846397
5234,S05234,brenda hamilton,2006-12-21,Grade 2,+16312161732
5235,S05235,sean cordova,2014-12-20,Grade 5,n/a
5236,S05236,felicia hartman,2008-02-23,Grade 3,+16063615858
5237,S05237,robert harris,2007-09-01,Grade 5,+12778871903
5238,S05238,ernest saunders,2015-12-13,Grade 4,+15295851284
5239,S05239,samantha mejia,2011-02-26,Grade 4,+18374734297
5240,S05240,kimberly marquez,2015-09-07,Grade 5,n/a
5241,S05241,mrs. aimee hobbs md,2008-01-11,Grade 4,+17797024876
5242,S05242,wendy rodriguez,2013-12-28,Grade 1,+13329143120
5243,S05243,nicole clay,2012-09-22,Grade 5,+12245599058
5244,S05244,sylvia nguyen,2014-08-29,Grade 3,+12973999850
5245,S05245,kristin kelly,2007-06-22,Grade 2,+19203059605
5246,S05246,april young,2011-10-18,Grade 2,+17332162537
5247,S05247,gabriela rubio,2006-11-25,Grade 2,+13763196721
5248,S05248,michael case,2006-03-13,Grade 3,+17177780904
5249,S05249,melissa kim,2018-05-10,Grade 2,+17524894985
5250,S05250,janice austin,2014-05-16,Grade 5,+19793395350
5251,S05251,joshua fisher,2006-04-14,Grade 2,+13939717139
5252,S05252,cynthia jackson,2015-08-22,Grade 2,+15055955079
5253,S05253,joshua nelson,2012-01-26,Grade 5,+19826004982
5254,S05254,heather young,2015-07-02,Grade 2,+14748210538
5255,S05255,paula humphrey,2012-01-08,Grade 3,+17657539785
5256,S05256,teresa alexander,2010-04-06,Grade 1,+15554130827
5257,S05257,sandra martin,2013-11-28,Grade 5,+16623835546
5258,S05258,mark choi,2006-10-14,Grade 4,+14288639272
5259,S05259,lisa garcia,2011-08-11,Grade 5,+16057489842
5260,S05260,amanda hudson,2006-07-12,Grade 4,+13214466241
5261,S05261,ashley perez,2012-11-14,Grade 3,+16126185736
5262,S05262,veronica baker,2014-12-30,Grade 3,+18736406831
5263,S05263,kristi wright,2013-04-17,Grade 1,+14628114349
5264,S05264,mark lutz,2010-10-30,Grade 3,+14445509482
5265,S05265,kimberly ayers,2018-11-27,Grade 2,+14235491111
5266,S05266,lori smith,2014-10-22,Grade 1,+13783433094
5267,S05267,kathryn meyers,2007-04-08,Grade 1,+16032896848
5268,S05268,kelly burnett,2016-06-10,Grade 1,n/a
5269,S05269,elaine jones,2007-05-28,Grade 5,+13556472643
5270,S05270,ana rice,2017-10-31,Grade 5,+14616454454
5271,S05271,amber white,2006-06-24,Grade 5,+16456099608
5272,S05272,nicholas cross,2015-01-24,Grade 1,+18724554439
5273,S05273,william moreno,2015-02-19,Grade 2,+14543650503
5274,S05274,katie marshall,2015-05-25,Grade 1,+13814248754
5275,S05275,dawn brown,2017-01-22,Grade 1,+17553184531
5276,S05276,heather humphrey,2011-08-20,Grade 2,+13997539662
5277,S05277,jason hall,2016-09-23,Grade 1,+12508062841
5278,S05278,dylan wilson,2010-09-23,Grade 4,+18777067012
5279,S05279,shannon park,2009-03-11,Grade 1,+12757403684
5280,S05280,kevin diaz md,2015-10-02,Grade 2,+13978187973
5281,S05281,suzanne turner,2017-08-15,Grade 2,+15226085111
5282,S05282,erica harris,2018-08-16,Grade 3,+13528795199
5283,S05283,john thomas,2017-08-30,Grade 2,n/a
5284,S05284,nicholas sanchez,2016-03-17,Grade 5,+19286095172
5285,S05285,heather gonzalez,2013-11-15,Grade 4,n/a
5286,S05286,john garcia,2015-04-03,Grade 3,+12979685657
5287,S05287,madeline mcmillan,2015-11-10,Grade 5,+15706459124
5288,S05288,stephanie russell,2007-09-16,Grade 4,+17156676361
5289,S05289,luke williamson,2011-07-01,Grade 1,+17006154222
5290,S05290,suzanne bowman,2009-11-02,Grade 4,+18487472455
5291,S05291,lori scott,2009-12-16,Grade 5,+14348218691
5292,S05292,eric rodriguez,2016-09-24,Grade 3,+17789172322
5293,S05293,timothy lane dds,2007-06-12,Grade 5,+14998907184
5294,S05294,amy may,2012-07-11,Grade 3,+18002058086
5295,S05295,sierra taylor,2009-02-28,Grade 4,+17413994851
5296,S05296,laura espinoza,2014-03-04,Grade 1,+16092831834
5297,S05297,toni holmes,2018-04-30,Grade 5,+13317903486
5298,S05298,michelle brown,2017-01-29,Grade 5,+12723112361
5299,S05299,amy bishop,2015-11-24,Grade 5,+18709255228
5300,S05300,steven campbell,2007-01-29,Grade 5,+14186068012
5301,S05301,sarah wilson,2013-02-08,Grade 1,+17814833949
5302,S05302,melinda lynn,2007-10-31,Grade 5,+13764826916
5303,S05303,joshua gallegos,2007-11-06,Grade 3,n/a
5304,S05304,rachel carr,2010-05-27,Grade 1,+18705276968
5305,S05305,eric lloyd,2018-07-18,Grade 1,+12029733781
5306,S05306,chad hamilton,2007-04-03,Grade 3,+13658475129
5307,S05307,daniel deleon,2008-12-24,Grade 1,+15973383910
5308,S05308,richard callahan,2018-01-13,Grade 4,+18307517060
5309,S05309,barbara flores,2013-07-19,Grade 1,+19657122011
5310,S05310,jesse jones,2016-04-16,Grade 3,+18115543112
5311,S05311,ryan leblanc,2009-08-20,Grade 2,+13968512314
5312,S05312,marvin kirby,2010-01-20,Grade 3,+17392536528
5313,S05313,daniel lee,2010-10-18,Grade 4,+13576473616
5314,S05314,jacob kemp,2018-02-04,Grade 5,+15259671593
5315,S05315,amanda norris dds,2014-02-04,Grade 5,+15063553469
5316,S05316,phillip wilson,2010-10-27,Grade 4,+15632884612
5317,S05317,kenneth wright,2017-10-09,Grade 3,+19652039761
5318,S05318,theresa osborn,2014-12-23,Grade 3,+18812021771
5319,S05319,debbie griffin dvm,2009-05-17,Grade 5,+15679942922
5320,S05320,jessica noble,2012-01-31,Grade 1,+12503147915
5321,S05321,yolanda shea,2015-01-11,Grade 2,+18552925627
5322,S05322,john collins,2015-12-10,Grade 5,+16236491279
5323,S05323,harold fields,2009-11-16,Grade 1,+18189382002
5324,S05324,victor jenkins,2012-04-19,Grade 1,+16002041863
5325,S05325,thomas decker,2012-07-19,Grade 5,+18846114927
5326,S05326,angela kelly,2008-07-31,Grade 3,+13575166283
5327,S05327,yvonne sullivan dvm,2016-04-19,Grade 3,+18165633152
5328,S05328,timothy calderon,2012-04-07,Grade 5,+15183778814
5329,S05329,morgan griffith,2013-08-19,Grade 2,+14978540078
5330,S05330,carolyn smith,2017-01-06,Grade 4,+18826405395
5331,S05331,alexis burns,2007-10-06,Grade 4,+13832242805
5332,S05332,teresa stone,2014-05-06,Grade 2,+18482154057
5333,S05333,joanna melton,2015-01-24,Grade 3,+19114028656
5334,S05334,robert bauer,2013-11-02,Grade 1,+19674117675
5335,S05335,wesley james,2006-05-20,Grade 2,+18159268874
5336,S05336,jeffery dickerson,2009-07-27,Grade 4,+16779453221
5337,S05337,monica jones dds,2014-08-20,Grade 1,+18439153181
5338,S05338,christine young,2016-12-01,Grade 1,+12759584640
5339,S05339,elizabeth white,2017-01-11,Grade 5,+17835092868
5340,S05340,john brown,2007-10-20,Grade 5,+15013333073
5341,S05341,scott jacobs,2014-11-03,Grade 1,+19718794784
5342,S05342,kyle harvey,2013-07-09,Grade 1,+19749917852
5343,S05343,samuel anderson,2011-08-22,Grade 1,+13325084738
5344,S05344,ashley johnson,2018-06-04,Grade 1,+17365355309
5345,S05345,jasmine patrick,2008-05-08,Grade 2,+17796942093
5346,S05346,robert johnson,2013-03-09,Grade 4,+19276215433
5347,S05347,craig blanchard,2011-05-28,Grade 4,+14109681701
5348,S05348,jacqueline cruz,2011-10-28,Grade 2,+14932276414
5349,S05349,abigail walker,2006-04-27,Grade 2,+17077357092
5350,S05350,joann anderson,2018-09-14,Grade 1,+14238346753
5351,S05351,casey lane,2014-04-27,Grade 3,+18768394064
5352,S05352,gregory rogers,2007-07-24,Grade 2,+17403384331
5353,S05353,william pugh,2006-12-23,Grade 1,+15288987336
5354,S05354,zachary kim,2014-04-30,Grade 1,+14407322302
5355,S05355,jacqueline hernandez,2009-09-03,Grade 3,+12512998634
5356,S05356,jeff christensen,2012-07-29,Grade 3,+16528779535
5357,S05357,jason burton,2014-09-04,Grade 3,+15435647750
5358,S05358,austin baker,2017-03-06,Grade 4,+16355317421
5359,S05359,penny taylor,2007-05-30,Grade 1,+19698616909
5360,S05360,eric washington,2017-06-27,Grade 1,+19592880695
5361,S05361,christy smith,2010-09-11,Grade 4,+17449265277
5362,S05362,kelly le,2007-09-13,Grade 5,+19523691469
5363,S05363,dwayne burke,2013-11-16,Grade 3,+18072772365
5364,S05364,jill smith,2017-03-04,Grade 5,+13115399395
5365,S05365,andrew lee,2006-12-28,Grade 2,+12157090746
5366,S05366,megan hartman,2007-12-07,Grade 1,+13547635650
5367,S05367,samantha coleman,2008-03-29,Grade 5,+17928839880
5368,S05368,kelly hunt,2009-07-07,Grade 2,+19138303476
5369,S05369,heather potter,2013-08-31,Grade 1,+12173963812
5370,S05370,steven brown,2012-12-17,Grade 5,+18449264880
5371,S05371,suzanne johnson,2010-02-03,Grade 4,+13367614885
5372,S05372,michael bell,2013-08-20,Grade 2,+19825813789
5373,S05373,maria alvarado,2018-10-23,Grade 1,+18286773477
5374,S05374,kelsey green,2014-11-01,Grade 2,+16169210580
5375,S05375,adam torres,2018-05-01,Grade 4,+15106940653
5376,S05376,earl lang,2014-05-19,Grade 1,+19117141571
5377,S05377,andrea hernandez,2017-08-10,Grade 3,+15716028425
5378,S05378,april williams,2014-04-22,Grade 5,+12403419963
5379,S05379,lauren andrews,2012-03-06,Grade 3,+17623477706
5380,S05380,alejandra wiley,2006-12-28,Grade 3,+16259134300
5381,S05381,william mercado,2015-12-30,Grade 4,+17977047425
5382,S05382,cheryl curtis,2018-09-04,Grade 1,+13572297109
5383,S05383,earl moore,2019-02-21,Grade 3,+15249489083
5384,S05384,caroline mcdonald,2010-10-13,Grade 1,+19515327120
5385,S05385,cheryl stokes,2007-04-26,Grade 4,+16393198178
5386,S05386,natalie jones,2017-12-18,Grade 3,+14183770326
5387,S05387,jonathan lozano,2018-09-12,Grade 4,+18268711883
5388,S05388,jeffrey spencer,2015-02-05,Grade 4,+18145326182
5389,S05389,kathryn miller,2016-05-27,Grade 5,+18402493068
5390,S05390,karen caldwell,2012-05-10,Grade 2,+13948449669
5391,S05391,kristina golden,2006-07-19,Grade 4,+12787887802
5392,S05392,kyle jackson,2013-03-23,Grade 5,+17336174133
5393,S05393,john hayes,2011-08-21,Grade 5,+17322511625
5394,S05394,melissa patel,2012-04-05,Grade 4,+17095417434
5395,S05395,randy oneill,2013-03-28,Grade 4,+16846567871
5396,S05396,jessica tate,2016-09-04,Grade 1,+16402088332
5397,S05397,kristin wheeler,2019-02-18,Grade 3,+19326800256
5398,S05398,steven henry,2015-04-30,Grade 5,+17885850523
5399,S05399,carrie oconnor,2018-03-05,Grade 1,+16628288315
5400,S05400,ashley walsh,2008-11-20,Grade 3,+19677821491
5401,S05401,ronald foster,2016-02-21,Grade 3,+12899751397
5402,S05402,veronica lee,2012-02-05,Grade 5,+19363830635
5403,S05403,kristina reed,2018-02-18,Grade 2,+12866379310
5404,S05404,ashley smith,2017-10-28,Grade 1,+17972014979
5405,S05405,tammy smith,2007-11-22,Grade 4,+13119497594
5406,S05406,donald mcclure,2006-05-23,Grade 4,+19062874538
5407,S05407,sheri moore,2014-02-25,Grade 2,+15938420909
5408,S05408,lynn king,2006-12-12,Grade 2,+17824876592
5409,S05409,bryan thompson,2014-09-17,Grade 2,+15119943775
5410,S05410,garrett montoya,2014-11-21,Grade 2,+12049721029
5411,S05411,terry arellano,2007-12-01,Grade 5,+19324211320
5412,S05412,tara jones,2012-05-02,Grade 1,+14258235774
5413,S05413,calvin peterson,2015-02-22,Grade 1,+12163500446
5414,S05414,frederick washington,2013-07-29,Grade 4,+14594752568
5415,S05415,anthony williams,2016-06-14,Grade 1,+14694743459
5416,S05416,erica beck,2007-07-29,Grade 1,n/a
5417,S05417,kristin bradley,2014-02-17,Grade 3,+17552719154
5418,S05418,janet williams,2011-12-18,Grade 5,+19085910515
5419,S05419,rodney randall,2011-05-22,Grade 4,+12835928578
5420,S05420,cynthia rubio,2015-02-18,Grade 4,+19009738084
5421,S05421,karen skinner,2013-10-20,Grade 3,+13353449359
5422,S05422,emily moore,2006-10-17,Grade 5,+12793158001
5423,S05423,angela martinez,2010-02-20,Grade 2,n/a
5424,S05424,dorothy ellis,2009-09-11,Grade 2,+14334748520
5425,S05425,gordon guzman,2009-02-11,Grade 2,+13712609222
5426,S05426,james thomas,2016-09-20,Grade 4,+18049667755
5427,S05427,darren kelley,2007-03-04,Grade 2,+13626812159
5428,S05428,wendy hall,2008-09-08,Grade 2,n/a
5429,S05429,harry williams,2017-05-06,Grade 4,+19524530432
5430,S05430,mariah weber,2009-04-16,Grade 3,+14262996692
5431,S05431,leslie beltran,2016-07-24,Grade 3,+16727133250
5432,S05432,cindy fisher,2018-03-11,Grade 4,+15603212656
5433,S05433,shawn frederick,2017-02-13,Grade 1,+14016937468
5434,S05434,laura higgins,2014-09-10,Grade 2,+17494027353
5435,S05435,anna esparza,2010-09-22,Grade 3,+17057602316
5436,S05436,nathan johnson,2006-08-01,Grade 2,+19623728273
5437,S05437,joseph martin,2009-12-13,Grade 5,+18104930668
5438,S05438,leslie holmes,2017-02-06,Grade 5,+15304066573
5439,S05439,kevin herman,2006-12-08,Grade 4,+19785465893
5440,S05440,jose dominguez,2018-09-26,Grade 1,+13665339949
5441,S05441,allen bryan,2017-01-06,Grade 5,+14366546706
5442,S05442,mary sanford,2009-03-09,Grade 4,+16447633832
5443,S05443,christine alvarez,2015-02-15,Grade 5,+16996782015
5444,S05444,george atkinson,2015-11-05,Grade 2,+16994304678
5445,S05445,steven quinn,2007-05-31,Grade 5,+14022396777
5446,S05446,joseph meadows,2011-01-17,Grade 3,+15956103777
5447,S05447,joy reynolds,2006-06-15,Grade 2,+18846639105
5448,S05448,brenda johnson,2010-03-04,Grade 1,+17067336155
5449,S05449,patricia petersen,2012-12-16,Grade 1,+16599280104
5450,S05450,troy morgan,2015-02-25,Grade 3,+19943961283
5451,S05451,lori austin,2016-02-12,Grade 4,+12779139753
5452,S05452,melissa smith,2007-10-21,Grade 4,+14137810762
5453,S05453,caleb wallace dds,2011-03-10,Grade 1,+13745655817
5454,S05454,denise clark,2014-09-19,Grade 1,+13554515991
5455,S05455,jeffrey avila,2013-08-04,Grade 3,+14027928704
5456,S05456,daniel tucker,2007-06-23,Grade 4,+19812451477
5457,S05457,toni fletcher,2006-08-09,Grade 3,+18975973448
5458,S05458,timothy thomas,2008-02-16,Grade 1,+19528842210
5459,S05459,jason murphy,2009-05-11,Grade 4,+12435331750
5460,S05460,christopher johnson,2007-09-29,Grade 3,+14152117455
5461,S05461,joshua chavez,2017-06-18,Grade 4,+18893320099
5462,S05462,manuel jones,2014-12-20,Grade 5,+13214260072
5463,S05463,vanessa graham,2016-03-05,Grade 2,+19754232636
5464,S05464,michael fox,2011-05-01,Grade 1,+17266821026
5465,S05465,nicholas garcia,2014-01-01,Grade 4,+18496182774
5466,S05466,kimberly dougherty,2012-08-26,Grade 1,+15387189587
5467,S05467,karen dixon,2011-02-01,Grade 5,+16837047737
5468,S05468,tracy oliver,2017-05-27,Grade 5,+17633568289
5469,S05469,danielle hopkins,2007-03-30,Grade 5,n/a
5470,S05470,pamela jackson,2008-10-29,Grade 4,+12995605963
5471,S05471,melinda ryan,2008-06-18,Grade 1,+14355327710
5472,S05472,michael foster,2015-10-29,Grade 3,+18834883676
5473,S05473,tony chapman,2018-02-23,Grade 4,+15208673875
5474,S05474,douglas koch,2015-05-15,Grade 3,+15328920259
5475,S05475,rebekah sullivan,2016-12-21,Grade 4,+14546430619
5476,S05476,tyler jones,2016-08-14,Grade 3,+13617000887
5477,S05477,jeffrey stewart,2019-01-29,Grade 1,+18586144126
5478,S05478,sara mccormick,2019-03-05,Grade 1,+16687611122
5479,S05479,courtney greer,2014-09-12,Grade 4,+17462531545
5480,S05480,michael dawson,2010-03-03,Grade 3,+15316684839
5481,S05481,eric young,2009-12-16,Grade 1,+17736724832
5482,S05482,timothy torres,2016-09-15,Grade 3,+17072691504
5483,S05483,anthony torres,2011-09-29,Grade 2,+15767242352
5484,S05484,tasha lopez,2018-03-19,Grade 1,+12784701725
5485,S05485,tina reed,2014-10-18,Grade 5,+16419708229
5486,S05486,michael arnold,2018-10-22,Grade 3,+19524224294
5487,S05487,heather curry,2014-06-26,Grade 3,+18443303270
5488,S05488,lisa flores,2009-02-05,Grade 1,+12422239388
5489,S05489,joseph aguilar,2018-06-29,Grade 5,+13794666253
5490,S05490,edward monroe,2015-03-22,Grade 4,+12134082096
5491,S05491,david sullivan,2016-01-19,Grade 4,+13374766013
5492,S05492,karen cannon,2011-06-05,Grade 1,+15938120643
5493,S05493,allen hill,2007-10-06,Grade 3,+18362170155
5494,S05494,andrew king,2009-09-09,Grade 5,+12632783760
5495,S05495,alex mcdonald,2007-02-18,Grade 3,+18777815140
5496,S05496,tiffany williams,2012-05-03,Grade 3,+13975982815
5497,S05497,brendan brown,2017-09-11,Grade 1,+18686457672
5498,S05498,angela rodgers,2011-09-15,Grade 4,+13488660464
5499,S05499,shane williams,2006-06-20,Grade 5,+17708095384
5500,S05500,robert sharp,2012-06-01,Grade 4,+17266081122
5501,S05501,danielle harris,2017-01-26,Grade 1,+15302745590
5502,S05502,mary wilson,2018-10-14,Grade 4,+18809789975
5503,S05503,aaron rivera,2017-10-08,Grade 3,+17469388535
5504,S05504,william johnston,2014-06-05,Grade 3,+12259850237
5505,S05505,mary johnson,2008-10-24,Grade 1,+18618048471
5506,S05506,brandy little,2006-12-11,Grade 5,+19435317066
5507,S05507,jonathan clark,2006-07-11,Grade 2,+12853985377
5508,S05508,travis hodges,2007-09-01,Grade 1,+16532363166
5509,S05509,jennifer prince,2008-01-16,Grade 5,+15944834452
5510,S05510,nichole grant,2015-02-24,Grade 1,+19009915956
5511,S05511,julie wilson,2018-11-19,Grade 3,+14989683453
5512,S05512,joseph powers,2006-05-06,Grade 3,+13357290371
5513,S05513,paige mcbride,2016-09-27,Grade 1,+19517254909
5514,S05514,darius romero,2007-02-17,Grade 4,+14374375831
5515,S05515,james crane,2017-03-14,Grade 3,+14373842948
5516,S05516,jesus walker,2010-09-29,Grade 5,+18652741216
5517,S05517,sydney rush,2013-10-14,Grade 2,+14969812460
5518,S05518,alicia kelley,2013-10-13,Grade 3,+17913131912
5519,S05519,courtney weeks,2010-01-11,Grade 4,+17082477888
5520,S05520,tracy byrd,2010-03-21,Grade 4,+12222639093
5521,S05521,christy joseph,2014-11-10,Grade 3,+19629153760
5522,S05522,alice jones,2013-10-18,Grade 2,+15696948356
5523,S05523,melvin huber,2018-06-25,Grade 2,+12457859075
5524,S05524,joseph kelly,2009-08-24,Grade 3,+13417709062
5525,S05525,joshua jenkins,2007-10-06,Grade 5,+12965868738
